,T,branch,NPP23,bsde,exact,br-time,NPP time,bsde time
0,0.05,0.82731,0.82752,0.82747,0.82752,32.55,34.48,246.31
1,0.10,0.84358,0.84397,0.84402,0.84396,37.80,43.79,242.70
2,0.15,0.85862,0.86021,0.86025,0.86022,47.11,62.78,246.82
3,0.20,0.87550,0.87630,0.87642,0.87630,63.35,87.20,247.75
4,0.25,0.88969,0.89211,0.89223,0.89216,84.16,123.96,240.26
5,0.30,0.90340,0.90785,0.90796,0.90780,112.37,158.78,239.84
6,0.35,0.92020,0.92324,0.92344,0.92321,138.66,185.03,247.04
7,0.40,0.93333,0.93840,0.93867,0.93837,148.18,216.49,252.06
8,0.45,0.94736,0.95334,0.95354,0.95326,170.10,237.65,241.03
9,0.50,0.95861,0.96799,0.96802,0.96789,185.61,281.18,242.27
